article_date_timestamp,article_title,article_url
1668932700.0,По всей территории Украины снова объявлена воздушная тревога,http://ont.by/news/po-vsej-territorii-ukrainy-snova-obuyavlena-vozdushnaya-trevoga
1668927060.0,Два человека погибли при крушении самолета на востоке Японии,http://ont.by/news/dva-cheloveka-pogibli-pri-krushenii-samoleta-na-vostoke-yaponii
1668922080.0,В Париже люди вышли на улицы в честь четвертой годовщины начала акций «желтых жилетов»,http://ont.by/news/v-parizhe-lyudi-vyshli-na-ulicy-v-chest-chetvertoj-godovshiny-nachala-akcij-zheltyh-zhiletov
1668882658.0,Украинские активисты напали на французских блогеров во время акции в поддержку Донбасса,http://ont.by/news/ukrainskie-aktivisty-napali-na-francuzskih-blogerov-vo-vremya-akcii-v-podderzhku-donbassa
1668878220.0,Месячную забастовку анонсировали госслужащие трех министерств Британии,http://ont.by/news/mesyachnuyu-zabastovku-anonsirovali-gossluzhashie-treh-ministerstv-britanii
1668870480.0,В сахалинском поселке Тымовское загорелся многоквартирный дом,http://ont.by/news/v-sahalinskom-poselke-tymovskoe-zagorelsya-mnogokvartirnyj-dom
1668865980.0,Мощный взрыв произошел на газозаправочной станции под Петербургом,http://ont.by/news/moshnyj-vzryv-proizoshel-na-gazozapravochnoj-stancii-pod-peterburgom
1668864300.0,В Бельгии украинские беженцы все чаще оказываются на улице,http://ont.by/news/v-belgii-ukrainskie-bezhency-vse-chashe-okazyvayutsya-na-ulice
1668857034.0,Лукашенко выразил Путину соболезнования в связи с гибелью людей при взрыве на Сахалине,http://ont.by/news/lukashenko-vyrazil-putinu-soboleznovaniya-v-svyazi-s-gibelyu-lyudej-pri-vzryve-na-sahaline
1668845778.0,Американские солдаты подрались с туристами в ночном клубе в Венгрии,http://ont.by/news/amerikanskie-soldaty-podralis-s-turistami-v-nochnom-klube-v-vengrii
1668843201.0,Число погибших при взрыве в доме на Сахалине возросло до девяти человек,http://ont.by/news/chislo-pogibshih-pri-vzryve-v-dome-na-sahaline-vozroslo-do-devyati-chelovek
1668842202.0,Рогов: взорван склад боеприпасов ВСУ на территории завода «Мотор Сич» в Запорожье,http://ont.by/news/rogov-vzorvan-sklad-boepripasov-vsu-na-territorii-zavoda-motor-sich-v-zaporozhe
